Fri Sep 24 2021 06:22:39 GMT-0400 (Eastern Daylight Time) - Run Time: 639ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of vehicles in household - n_vehicle


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_vehicle
  gta06_hhld   n_vehicle      total
        5140           2        704
        5140           3        111
        5140           8         45
        5141           0         52
        5141           1        270
        5141           2        498
        5141           3         18
        5142           2         42
        5142           3         24
        5143           0         50
        5143           1        626
        5143           2        424
        5143           3        224
        5143           4         59
        5143           5         37
        5144           0        361
        5144           1        787
        5144           2        703
        5144           3        100
        5147           2         76
        5147           3         12
        5148           0        886
        5148           1        942
        5148           2        549
        5148           3        116
        5148           4         22
        5149           0        177
        5149           1        719
        5149           2        273
        5149           3         67
        5150           0        660
        5150           1        945
        5150           2        313
        5151           0         51
        5151           1        655
        5151           2        471
        5151           3        450
        5154           0        187
        5154           1        445
        5154           2        337
        5155           0        537
        5155           1        629
        5155           2        295
        5155           3         13
        5156           0         64
        5156           1         17
        5157           0        356
        5157           1        539
        5157           2        150
        5157           3         60
        5158           0         35
        5158           1        706
        5158           2        905
        5158           3         97
        5158           4         83
        5159           0        401
        5159           1        952
        5159           2        133
        5160           1         69
        5160           2         53
        5160           3         40
        5161           0        116
        5161           1        607
        5161           2        541
        5161           3        121
        5162           0        175
        5162           1        237
        5162           2        416
        5162           4         36
        5163           0        469
        5163           1        577
        5163           2         75
        5163           3         68
        5164           0        920
        5164           1       1372
        5164           2        502
        5165           0        297
        5165           1        618
        5165           2        658
        5165           3        107
        5166           0        716
        5166           1       1675
        5166           2        582
        5166           3         49
        5167           0        305
        5167           1        548
        5167           2        112
        5167           3         25
        5168           0        714
        5168           1        468
        5168           2         39
        5170           0        970
        5170           1        592
        5170           2        494
        5170           4         31
        5171           0        610
        5171           1        686
        5171           2        127
        5171           3         19
        5172           0        756
        5172           1        536
        5172           2        189
        5172           3         32
        5173           0        126
        5173           1        149
        5174           0        201
        5174           1        694
        5174           2        193
        5174           3         22
        5175           0        205
        5175           1        728
        5175           2        230
        5175           3         30
        5175           4         49
        5176           0         19
        5176           1        547
        5176           2        251
        5176           3        120
        5177           1        175
        5177           2        324
        5177           3        265
        5177           4         34
        5178           1        222
        5178           2        475
        5178           3        145
        5179           0        634
        5179           1       1238
        5179           2        202
        5180           0        146
        5180           1        588
        5180           2        422
        5181           0       1252
        5181           1       1254
        5181           2         43
        5182           0         20
        5182           1        318
        5182           2        284
        5182           3        113
        5182           4         51
        5183           0        115
        5183           1        314
        5183           2        125
        5183           3         36
        5184           1        185
        5186           0        702
        5186           1        482
        5186           2        144
        5187           0       1021
        5187           1       1049
        5187           2        373
        5187           3        111
        5188           0        110
        5188           1        368
        5188           3         92
        5190           3         67
        5191           0        172
        5191           1        420
        5191           2        549
        5191           3        123
        5192           0        568
        5192           1        378
        5192           2        162
        5192           3         70
        5193           1         23
        5194           0        208
        5194           1        454
        5194           2        121
        5194           3        127
        5194           5         18
        5195           0        251
        5195           1        453
        5195           2         39
        5196           0         65
        5196           1        440
        5196           2        331
        5197           1         50
        5197           2         34
        5198           0         32
        5198           1         72
        5198           2         89
        5198           3         29
        5199           0        526
        5199           1        317
        5199           2        126
        5199           3          8
        5200           0        495
        5200           1       1046
        5200           2        129
        5200           3         22
        5201           0          8
        5201           1        314
        5201           2          8
        5202           0         62
        5202           1        561
        5202           2        658
        5202          99         12
        5203           0        452
        5203           1        447
        5203           2        321
        5203           4         30
        5204           0        119
        5204           1        260
        5204           2        141
        5205           0        278
        5205           1       1219
        5205           2        443
        5205           3         42
        5206           0        172
        5206           1        403
        5206           2        115
        5207           0        137
        5207           1        791
        5207           2        701
        5207           3        330
        5207           4         19
        5207           5         22
        5208           0        562
        5208           1        946
        5208           2        659
        5208           3        216
        5210           0         83
        5210           1         65
        5210           2         63
        5212           1        443
        5212           2        345
        5212           3         69
        5213           3         30
        5214           1         43
        5214           2         18
        5214           3         37
        5215           2        175
        5216           1        302
        5216           2        505
        5216           3        241
        5216           4        267
        5219           1        304
        5219           2        508
        5219           3         55
        5219           4         44
        5219           5         11
        5223           1         86
        5223           2        260
        5223           3        247
        5223           4         53
        5223           5         14
        5224           1        146
        5224           2        280
        5224           3        147
        5224           4         79
        5224           5         59
        5224           7         19
        5225           1         97
        5225           2        180
        5225           3         32
        5225           4         32
        5225           5         33
        5226           0         43
        5226           1         98
        5226           2        567
        5226           3        328
        5226           4        135
        5227           1         27
        5227           2        111
        5227           3         12
        5227           5         29
        5228           1         11
        5228           2         26
        5228           3         30
        5228           4         16
        5229           1        293
        5229           2        816
        5229           3        118
        5229           5         14
        5230           0         27
        5230           1        276
        5230           2        750
        5230           3        337
        5231           0         45
        5231           1        390
        5231           2        510
        5231           3         55
        5231           4         52
        5231           5         15
        5232           0         21
        5232           1        420
        5232           2       1116
        5232           3        486
        5232           4        133
        5232           5         54
        5233           0         21
        5233           1        258
        5233           2        263
        5233           3        136
        5233           4         50
        5233           5         41
        5234           1         35
        5234           2        112
        5234           3         58
        5235           1         11
        5235           2         94
        5235           3         29
        5235           4         48
        5236           1         88
        5236           2        353
        5236           3         44
        5237           0         46
        5237           1        812
        5237           2        430
        5237           3         48
        5237           5         46
        5238           0         12
        5238           1        445
        5238           2        508
        5238           3        145
        5238           4         77
        5238           5         42
        5239           0        111
        5239           1        741
        5239           2        768
        5239           3         69
        5239           4         28
        5240           0         13
        5240           1        146
        5240           2        266
        5240           3         15
        5240           4         17
        5241           0        317
        5241           1       1276
        5241           2       1259
        5241           3        271
        5241           4         41
        5242           1         36
        5242           2        148
        5242           4        134
        5243           1         54
        5243           2         24
        5244           1        390
        5244           2        472
        5244           3         88
        5244           7         45
        5245           1         19
        5245           2        337
        5246           1        149
        5246           2        272
        5246           3        250
        5247           1        181
        5247           2        212
        5247           3         38
        5247           4         72
        5247          99         29
        5248           1        194
        5248           2        357
        5248           3        221
        5248           4        233
        5248           5         38
        5249           1         22
        5249           2        148
        5249           3         26
        5250           0         19
        5250           1         36
        5250           2         18
        5250           3        144
        5250           4         39
        5251           2         32
        5252           0         26
        5252           1        357
        5252           2        130
        5252           3        126
        6001           1        163
        6001           2         94
        6001           3         12
        6001           4         14
        6001           5         17
        6004           1        640
        6004           2        843
        6004           3        284
        6004           4         49
        6005           1         75
        6005           2        291
        6005           3        107
        6006           1         73
        6006           2        196
        6006           3         64
        6006           4         25
        6007           1        106
        6007           2        203
        6007           3        177
        6007           4         25
        6007           5         35
        6008           0         53
        6008           1        253
        6008           2        181
        6008           3         56
        6009           0         55
        6009           1         37
        6009           2         16
        6010           1         86
        6010           2         21
        6010           3         36
        6012           0         27
        6012           1        199
        6012           2        428
        6012           3        230
        6012           4        129
        6012           5         13
        6014           0         83
        6014           1        261
        6014           2         60
        6015           1        283
        6015           2        469
        6015           3        179
        6015           4        120
        6015           5         25
        6016           0         10
        6016           1        225
        6016           2        585
        6016           3        145
        6016           4         17
        6016           5         22
        6017           0         29
        6017           1        198
        6017           2         46
        6017           4         35
        6018           1        182
        6018           2        374
        6018           3        109
        6018           4         80
        6018           5         84
        6019           0         12
        6019           1        248
        6019           2        386
        6019           3        100
