Fri Sep 24 2021 06:19:05 GMT-0400 (Eastern Daylight Time) - Run Time: 673ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of drivers in household - n_licence


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_licence
  gta06_hhld   n_licence      total
        5144           0        111
        5144           1        620
        5144           2        953
        5144           3        176
        5144          99         92
        5147           2         87
        5148           0        578
        5148           1        817
        5148           2        766
        5148           3         54
        5148           4        101
        5148          99        199
        5149           0        133
        5149           1        535
        5149           2        567
        5150           0        449
        5150           1        883
        5150           2        391
        5150           3        144
        5150          99         51
        5151           0         56
        5151           1        460
        5151           2        866
        5151           3        114
        5151           4         98
        5151          99         32
        5154           0        169
        5154           1        422
        5154           2        298
        5154           3         80
        5155           0        112
        5155           1        728
        5155           2        508
        5155           3         39
        5155          99         86
        5156           1         81
        5157           0        131
        5157           1        491
        5157           2        435
        5157          99         48
        5158           0         35
        5158           1        230
        5158           2       1353
        5158           3        208
        5159           0        245
        5159           1       1050
        5159           2        191
        5160           1         22
        5160           2        140
        5161           0         87
        5161           1        544
        5161           2        657
        5161           3         97
        5162           0        113
        5162           1        215
        5162           2        467
        5162           3         31
        5162           4         36
        5163           0        209
        5163           1        680
        5163           2        243
        5163           3         57
        5164           0        620
        5164           1       1263
        5164           2        719
        5164           3         38
        5164           4         72
        5164          99         84
        5165           0        189
        5165           1        440
        5165           2        857
        5165           3         66
        5165          99        128
        5166           0        363
        5166           1       1511
        5166           2        837
        5166           3        106
        5166           4         90
        5166           7         29
        5166          99         87
        5167           0        281
        5167           1        421
        5167           2        288
        5168           0        239
        5168           1        703
        5168           2        222
        5168          99         56
        5170           0        712
        5170           1        641
        5170           2        551
        5170           3         62
        5170           4         70
        5170          99         52
        5171           0        302
        5171           1        870
        5171           2        201
        5171          99         70
        5172           0        245
        5172           1        914
        5172           2        330
        5172           3         25
        5173           0         92
        5173           1        183
        5174           0         72
        5174           1        510
        5174           2        467
        5174           3         62
        5175           0         34
        5175           1        673
        5175           2        319
        5175           3         10
        5175           4         45
        5175           5         26
        5175           6         72
        5175          99         62
        5176           0         19
        5176           1        433
        5176           2        388
        5176           4         97
        5177           1        168
        5177           2        322
        5177           3        308
        5178           1        131
        5178           2        545
        5178           3        165
        5179           0        325
        5179           1       1179
        5179           2        539
        5179          99         31
        5180           0        117
        5180           1        334
        5180           2        658
        5180          99         47
        5181           0        738
        5181           1       1227
        5181           2        522
        5181          99         62
        5182           0         20
        5182           1        323
        5182           2        302
        5182           3        141
        5183           0         60
        5183           1        105
        5183           2        426
        5184           1        185
        5186           0        353
        5186           1        558
        5186           2        351
        5186           3         66
        5187           0        539
        5187           1       1137
        5187           2        733
        5187           4         90
        5187          99         56
        5188           0         91
        5188           1        294
        5188           2         82
        5188           3         92
        5188          99         11
        5190           1         67
        5191           0        138
        5191           1        292
        5191           2        787
        5191           3         33
        5191          99         13
        5192           0        201
        5192           1        619
        5192           2        214
        5192           3         51
        5192          99         94
        5193           1         23
        5194           0        160
        5194           1        366
        5194           2        294
        5194           3        108
        5195           0        116
        5195           1        405
        5195           2        221
        5196           0         20
        5196           1        277
        5196           2        429
        5196           3         47
        5196           6         45
        5196          99         19
        5197           1         50
        5197           2         34
        5198           1         24
        5198           2        134
        5198           3         29
        5198           4         34
        5199           0        223
        5199           1        462
        5199           2        204
        5199           3         89
        5200           0        219
        5200           1        877
        5200           2        418
        5200           3         74
        5200          99        105
        5201           1        140
        5201           2        191
        5202           0         44
        5202           1        420
        5202           2        681
        5202          99        149
        5203           0        122
        5203           1        501
        5203           2        468
        5203           3         45
        5203           4         30
        5203          99         85
        5204           0        122
        5204           1        144
        5204           2        145
        5204           3         10
        5204           4         90
        5204          99          8
        5205           0        213
        5205           1        666
        5205           2        966
        5205           3         38
        5205           4         56
        5205          99         45
        5206           0         75
        5206           1        270
        5206           2        267
        5206           3         76
        5207           0        137
        5207           1        750
        5207           2        771
        5207           3        211
        5207           4         44
        5207          99         86
        5208           0        351
        5208           1        783
        5208           2        886
        5208           3        256
        5208           4        106
        5210           0         64
        5210           1         60
        5210           2         88
        5212           1        335
        5212           2        491
        5212          99         32
        5213           3         30
        5214           1         19
        5214           2         61
        5214           3         19
        5215           2        175
        5216           1        175
        5216           2        689
        5216           3         87
        5216           4        234
        5216           5        129
        5219           1        248
        5219           2        631
        5219           4         44
        5223           1         73
        5223           2        395
        5223           3        114
        5223           4         78
        5224           1        166
        5224           2        397
        5224           3         97
        5224           4         52
        5224          99         17
        5225           1         79
        5225           2        264
        5225           3         32
        5226           0         30
        5226           1         84
        5226           2        719
        5226           3        277
        5226           4         49
        5226          99         12
        5227           1         36
        5227           2        102
        5227           3         29
        5227          99         12
        5228           1         21
        5228           2         33
        5228           3         30
        5229           1        232
        5229           2        934
        5229           3         26
        5229           4         49
        5230           0         27
        5230           1        185
        5230           2        837
        5230           3        168
        5230           4        174
        5231           0         45
        5231           1        217
        5231           2        601
        5231           3         74
        5231           4         39
        5231          99         91
        5232           0         21
        5232           1        327
        5232           2       1305
        5232           3        189
        5232           4        388
        5233           1        209
        5233           2        250
        5233           3         79
        5233           4        119
        5233           5         41
        5233          99         71
        5234           1         20
        5234           2        165
        5234           3         19
        5235           1         11
        5235           2         94
        5235           4         29
        5235           5         48
        5236           1         64
        5236           2        200
        5236           3        177
        5236           4         44
        5237           0         58
        5237           1        757
        5237           2        448
        5237           3         13
        5237           4         60
        5237           5         46
        5238           0         12
        5238           1        274
        5238           2        692
        5238           3        118
        5238           4        121
        5238          99         12
        5239           0         81
        5239           1        595
        5239           2        846
        5239           3        168
        5239           4         28
        5240           0         13
        5240           1        176
        5240           2        235
        5240           3         15
        5240           4         17
        5241           0        228
        5241           1        969
        5241           2       1301
        5241           3        494
        5241           4        142
        5241           5         29
        5242           1         36
        5242           2        132
        5242           3         15
        5242           5        134
        5243           2         78
        5244           1        263
        5244           2        523
        5244           3        106
        5244           4        103
        5245           2        299
        5245           3         58
        5246           1         70
        5246           2        351
        5246           3        134
        5246           4        116
        5247           1        154
        5247           2        215
        5247           3        116
        5247           4         30
        5247          99         18
        5248           1        212
        5248           2        481
        5248           3        220
        5248           4        130
        5249           1         22
        5249           2        148
        5249           3         26
        5250           0         19
        5250           2         38
        5250           3         73
        5250           4        126
        5251           2         32
        5252           0         61
        5252           1        246
        5252           2        207
        5252           3        126
        6001           1         71
        6001           2        212
        6001           4         17
        6004           1        492
        6004           2        912
        6004           3        279
        6004           4        113
        6004          99         19
        6005           1         34
        6005           2        388
        6005           3         52
        6006           1         18
        6006           2        273
        6006           3         42
        6006           4         25
        6007           1        157
        6007           2        238
        6007           3         83
        6007           4         69
