Fri Sep 24 2021 06:21:48 GMT-0400 (Eastern Daylight Time) - Run Time: 603ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of P/T workers in household - n_emp_pt


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_pt
  gta06_hhld    n_emp_pt      total
        6074           2         69
        6074           3         37
        6075           0       1004
        6075           1        318
        6075           2         82
        6076           0         58
        6079           0       1041
        6079           1        250
        6080           0         14
        6080           1         65
        6081           0        936
        6081           1        258
        6081           2         29
        6082           0        478
        6082           1        193
        6083           0       1051
        6083           1        253
        6083           2         24
        6085           0        131
        6085           1         44
        6090           0        816
        6090           1        410
        6090           2         12
        6090           3         73
        6091           0        442
        6091           1        134
        6092           0        561
        6092           1        162
        6092           3         90
        6094           0        343
        6094           1         25
        6094           2         51
        6095           0         14
        6095           2         42
        6097           0        509
        6097           1        139
        6097           2        201
        6097           3         36
        6098           0        805
        6098           1        219
        6098           2         49
        6100           0        858
        6100           1        368
        6101           0       1403
        6101           1        321
        6101           2         17
        6102           0        457
        6102           1         94
        6102           2         38
        6103           0         10
        6103           1         15
        6104           0        263
        6105           0        621
        6105           1         16
        6106           0        362
        6106           1        207
        6106           2         41
        6107           0       1325
        6107           1        194
        6107           2         62
        6109           0        976
        6109           1        395
        6109           2         49
        6112           0        455
        6112           1         28
        6112           2         41
        6113           0        809
        6113           1         73
        6113           2         10
        6115           0        239
        6116           0         68
        6117           0        398
        6117           1        158
        6118           0        876
        6118           1        157
        6118           2         59
        6119           0        147
        6120           0        101
        6120           1         53
        6121           0        588
        6121           2         59
        6122           0         10
        6123           0        197
        6124           0        137
        6125           0         42
        6125           1         54
        6127           0          6
        6129           0        237
        6129           1         10
        6130           0        284
        6131           0         49
        6132           0        423
        6132           1         39
        6133           0        361
        6133           1        195
        6134           0        306
        6134           1         75
        6135           0        191
        6135           1         61
        6137           0        433
        6137           1        491
        6137           2         71
        6138           0         14
        6138           1         14
        6139           0        248
        6139           1         16
        6140           0        577
        6140           1         96
        6141           0        447
        6141           1        151
        6142           0        649
        6142           1        246
        6143           0         81
        6143           1         45
        6144           0        200
        6144           1         18
        6145           0         48
        6146           0       2203
        6146           1        576
        6146           2        137
        6146           3         45
        6147           0         23
        6147           1         11
        6150           0        540
        6150           1        155
        6150           2         41
        6151           0         57
        6153           0        214
        6154           0        685
        6154           1        162
        6154           2        145
        6154           3         60
        6155           0        141
        6156           0         29
        6158           0        313
        6158           1         84
        6158           2         31
        6158           3          9
        6159           0        249
        6159           1         84
        6159           2        112
        6159           3         23
        6160           0        710
        6160           1         35
        6160           2         48
        6160           3         16
        6161           0        246
        6161           1         63
        6162           0        258
        6162           1         18
        6162           2         93
        6162           3         36
        6163           0         47
        6164           0        381
        6164           1        232
        6164           2         24
        6165           0        191
        6165           2         46
        6166           0        710
        6166           1        173
        6166           2         34
        6167           0         21
        6167           1         29
        6168           0        693
        6168           1        125
        6169           1         28
        6169           2         41
        6170           0       1192
        6170           1        370
        6170           2         48
        6171           0        454
        6171           1        145
        6171           2        110
        6172           0        394
        6172           1         61
        6172           3         23
        6173           0        450
        6173           1        219
        6174           0        437
        6174           1        111
        6174           2         17
        6175           0        387
        6175           1         57
        6175           2         22
        6176           0        461
        6176           1         97
        6177           0        140
        6177           1         99
        6178           0          4
        6179           0        103
        6179           1         67
        6179           3         19
        6180           0         41
        6180           1         94
        6181           0         84
        6182           0        668
        6182           1        135
        6183           0        175
        6183           1         25
        6183           2         28
        6184           0         25
        6184           2         10
        6185           0         47
        6186           0        123
        6186           1         14
        6187           0         69
        6187           1         74
        6187           2         25
        6188           0        230
        6188           1        116
        6189           0         52
        6189           1          9
        6190           0          4
        6191           0         92
        6192           0         26
        6192           2          6
        6193           0       1031
        6193           1        377
        6193           2         78
        6194           0        819
        6194           1        213
        6194           2         40
        6195           0        122
        6195           1         50
        6196           0        779
        6196           1        363
        6196           2         38
        6197           0         53
