Fri Sep 24 2021 06:21:03 GMT-0400 (Eastern Daylight Time) - Run Time: 659ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of persons in household - n_person


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_person
  gta06_hhld    n_person      total
        5132           1        156
        5132           2        601
        5132           3        112
        5132           4        187
        5132           5        180
        5132           6         35
        5133           1        325
        5133           2        213
        5133           3        218
        5133           4        358
        5133           5        161
        5135           1        589
        5135           2        902
        5135           3        207
        5135           4        398
        5135           5        174
        5137           1         13
        5137           2        286
        5137           3         67
        5137           4        210
        5138           1         47
        5138           2         58
        5138           4         47
        5139           1        845
        5139           2        860
        5139           3        386
        5139           4        228
        5139           5        316
        5140           1        168
        5140           2        536
        5140           3        239
        5140           4        182
        5140           5        103
        5141           1        152
        5141           2        206
        5141           3        240
        5141           4         80
        5141           5        107
        5141           8         55
        5142           2         24
        5142           3         42
        5143           1        315
        5143           2        651
        5143           3        264
        5143           4        191
        5144           1        441
        5144           2        917
        5144           3        363
        5144           4        231
        5147           2         87
        5148           1        948
        5148           2        738
        5148           3        297
        5148           4        360
        5148           5         71
        5148           8        101
        5149           1        544
        5149           2        527
        5149           3         29
        5149           4        136
        5150           1        990
        5150           2        365
        5150           3        424
        5150           4        140
        5151           1        364
        5151           2        590
        5151           3        392
        5151           4         84
        5151           5         97
        5151           7         98
        5154           1        312
        5154           2        176
        5154           3        342
        5154           4         57
        5154           5         81
        5155           1        535
        5155           2        587
        5155           3        157
        5155           4        183
        5155           6         11
        5156           1         81
        5157           1        294
        5157           2        475
        5157           3        116
        5157           4        220
        5158           1        149
        5158           2        639
        5158           3        315
        5158           4        527
        5158           5        194
        5159           1        891
        5159           2        466
        5159           3        130
        5160           2         99
        5160           3         22
        5160           5         40
        5161           1        254
        5161           2        341
        5161           3        472
        5161           4        195
        5161           5         69
        5161           6         55
        5162           1        252
        5162           2        469
        5162           3         31
        5162           4         58
        5162           5         53
        5163           1        859
        5163           2        201
        5163           3         57
        5163           4         43
        5163           5         29
        5164           1       1113
        5164           2        846
        5164           3        468
        5164           4         40
        5164           5        151
        5164           6        176
        5165           1        564
        5165           2        971
        5165           4         80
        5165           5         66
        5166           1       1351
        5166           2       1023
        5166           3        374
        5166           4        107
        5166           5         98
        5166           6         40
        5166           7         29
        5167           1        458
        5167           2        369
        5167           3         66
        5167           4         96
        5168           1        661
        5168           2        488
        5168           3         72
        5170           1        925
        5170           2        539
        5170           3        108
        5170           4        243
        5170           5        150
        5170           7        124
        5171           1        853
        5171           2        419
        5171           3         70
        5171           5        100
        5172           1        759
        5172           2        448
        5172           3        274
        5172           4         32
        5173           1        207
        5173           2         68
        5174           1        519
        5174           2        365
        5174           3        131
        5174           4         59
        5174           6         36
        5175           1        497
        5175           2        310
        5175           3        124
        5175           4        213
        5175           5         26
        5175           6         72
        5176           1        228
        5176           2        178
        5176           3        256
        5176           4        197
        5176           6         79
        5177           1        168
        5177           2        216
        5177           3        233
        5177           4        124
        5177           6         46
        5177           8         12
        5178           1        118
        5178           2        417
        5178           3        167
        5178           4        140
        5179           1       1182
        5179           2        562
        5179           3        224
        5179           4        106
        5180           1        375
        5180           2        462
        5180           3        168
        5180           4         72
        5180           5         78
        5181           1       1165
        5181           2        470
        5181           3        588
        5181           4        205
        5181           5        122
        5182           1        207
        5182           2        282
        5182           3        219
        5182           4         79
        5183           1        119
        5183           2        263
        5183           3        153
        5183           5         55
        5184           1        156
        5184           2         30
        5186           1        814
        5186           2        119
