Fri Sep 24 2021 06:18:16 GMT-0400 (Eastern Daylight Time) - Run Time: 797ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : income
  gta06_hhld      income      total
        5082           1        111
        5082           2        283
        5082           3        391
        5082           4        496
        5082           5        127
        5082           6        188
        5082           7        398
        5084           1         19
        5084           2         43
        5084           3        265
        5084           4        338
        5084           5        290
        5084           6        572
        5084           7        271
        5086           1         57
        5086           2        278
        5086           3        215
        5086           4        412
        5086           5         42
        5086           6        139
        5086           7        120
        5087           1         28
        5087           2         54
        5087           3         34
        5087           5         56
        5087           7         48
        5088           2         30
        5088           3         27
        5088           4         23
        5088           6         95
        5088           7         50
        5089           1         46
        5089           2        274
        5089           3        480
        5089           4        287
        5089           5        166
        5089           6        114
        5089           7        148
        5090           2         69
        5090           3        101
        5090           4        238
        5090           5         96
        5090           6        143
        5090           7        153
        5091           2        316
        5091           3        146
        5091           4        127
        5091           6        172
        5091           7        231
        5092           1        153
        5092           2        309
        5092           3        184
        5092           4        201
        5092           5        121
        5092           6        237
        5092           7        300
        5093           1         94
        5093           2        212
        5093           3        137
        5093           4        244
        5093           5         40
        5093           6         52
        5093           7        135
        5094           2        181
        5094           3        270
        5094           4        516
        5094           5         98
        5094           6        731
        5094           7        656
        5095           1        161
        5095           2        535
        5095           3        365
        5095           4        340
        5095           5         77
        5095           6         57
        5095           7        204
        5096           2        157
        5096           3        130
        5096           4        384
        5096           5        233
        5096           6        125
        5096           7        294
        5097           1        173
        5097           2        169
        5097           3        239
        5097           4        158
        5097           7        162
        5098           1        123
        5098           2        152
        5098           3         75
        5098           4        289
        5098           5        313
        5098           6        207
        5098           7        440
        5099           1         28
        5099           2        745
        5099           3        168
        5099           4        202
        5099           5         62
        5099           6         49
        5099           7        215
        5100           1         57
        5100           2         34
        5100           3         68
        5100           4        400
        5100           5        265
        5100           6        454
        5100           7        356
        5101           2         71
        5101           3        260
        5101           4        243
        5101           5         36
        5101           6         17
        5101           7        131
        5102           1         23
        5102           2        271
        5102           3        186
        5102           4        198
        5102           7        131
        5103           3         12
        5103           5         97
        5103           6        113
        5103           7         19
        5104           1        138
        5104           2        521
        5104           3        356
        5104           4        386
        5104           5         84
        5104           6        100
        5104           7        353
        5105           2         82
        5105           3         56
        5105           4        213
        5105           5         69
        5105           6        275
        5105           7        211
        5106           2        237
        5106           3        282
        5106           4        158
        5106           5         10
        5106           6         80
        5106           7        252
        5107           1         81
        5107           2        132
        5107           3         72
        5107           4        148
        5107           5         37
        5107           6         52
        5107           7        121
        5109           2         38
        5109           3         44
        5109           4        126
        5109           5        138
        5109           6        444
        5109           7        117
        5110           1        166
        5110           2        341
        5110           3        162
        5110           4        115
        5110           5        200
        5110           6         89
        5110           7        469
        5111           1        136
        5111           2        435
        5111           3        261
        5111           4        374
        5111           5         62
        5111           6         88
        5111           7        463
        5113           1         65
        5113           2         83
        5113           3        157
        5113           4        357
        5113           5        153
        5113           6         43
        5113           7        118
        5114           2        105
        5114           3        148
        5114           4        210
        5114           6        216
        5114           7        158
        5115           1         31
        5115           2        113
        5115           3        298
        5115           4        315
        5115           5        177
        5115           6        204
        5115           7        200
        5116           2        110
        5116           3        228
        5116           4        371
        5116           6         20
        5116           7        281
        5117           1         19
        5117           2         22
        5117           3        174
        5117           4        152
        5117           5         21
        5117           6         59
        5117           7         41
        5118           1         21
        5118           2        418
        5118           3        420
        5118           4        382
        5118           5         78
        5118           7        378
        5119           2         66
        5120           1        110
        5120           2        214
        5120           3        122
        5120           4        172
        5120           5        166
        5120           6         69
        5120           7        232
        5121           1         33
        5121           2        225
        5121           3        181
        5121           4        257
        5121           6         40
        5121           7        373
        5122           1         53
        5122           2        290
        5122           3         85
        5122           4        183
        5122           5        110
        5122           6        205
        5122           7        332
        5123           1        225
        5123           2        902
        5123           3        638
        5123           4        472
        5123           6        121
        5123           7        661
        5125           2        232
        5125           3         92
        5125           4         26
        5125           7         47
        5126           3         72
        5126           4         97
        5126           5         29
        5126           7         61
        5127           1         61
        5127           2        606
        5127           3        305
        5127           4        529
        5127           5        220
        5127           6         38
        5127           7        353
        5129           1        173
        5129           2        144
        5129           3         18
        5129           4        197
        5129           5         31
        5129           6        262
        5129           7         18
        5130           2        662
        5130           3        559
        5130           4        458
        5130           5        231
        5130           6         65
        5130           7        182
        5131           1        240
        5131           2        355
        5131           3        258
        5131           4        171
        5131           5         62
        5131           6         23
        5131           7        323
        5132           1         16
        5132           2        155
        5132           3         52
        5132           4        225
        5132           5        217
        5132           6        193
        5132           7        412
        5133           2        228
        5133           3        187
        5133           4        173
        5133           5        125
        5133           6        218
        5133           7        343
        5135           1         31
        5135           2        326
        5135           3        401
        5135           4        765
        5135           5         91
        5135           6         64
        5135           7        592
        5137           2         13
        5137           3         33
        5137           4         23
        5137           5        195
        5137           6        207
        5137           7        104
        5138           2          8
        5138           3         22
        5138           6        105
        5138           7         17
        5139           1         64
        5139           2        674
        5139           3        339
        5139           4        436
        5139           5        410
        5139           6        249
        5139           7        464
        5140           2        175
        5140           3        216
        5140           4        194
        5140           5        185
        5140           6        304
        5140           7        154
        5141           1         15
        5141           2         27
        5141           4        178
        5141           5        207
        5141           6        156
        5141           7        256
        5142           7         67
        5143           1         78
        5143           2        156
        5143           3        166
        5143           4        643
        5143           5         69
        5143           6        113
        5143           7        195
        5144           1         16
        5144           2        306
        5144           3        438
        5144           4        306
        5144           5         98
        5144           6        372
        5144           7        417
        5147           4         76
        5147           6         12
        5148           1        373
        5148           2        677
        5148           3        525
        5148           4        215
        5148           5        162
        5148           6        114
        5148           7        450
        5149           1        183
        5149           2        246
        5149           3        352
        5149           4        312
        5149           5         43
        5149           6        100
        5150           1        293
        5150           2        862
        5150           3        146
        5150           4        377
        5150           5         77
        5150           6         45
        5150           7        118
        5151           2        295
        5151           3        344
        5151           4        460
        5151           5        171
        5151           6         78
        5151           7        278
        5154           1        112
        5154           2        153
        5154           3         59
        5154           4        379
        5154           5        101
        5154           6         28
        5154           7        137
        5155           1        133
        5155           2        634
        5155           3        193
        5155           4        171
        5155           5        103
        5155           6         61
        5155           7        178
        5156           2         63
        5156           7         18
        5157           1         32
        5157           2        479
        5157           3         74
        5157           4        243
        5157           5        115
        5157           6         19
        5157           7        144
        5158           1         17
        5158           2        105
        5158           3        195
        5158           4        301
        5158           5        103
        5158           6        910
        5158           7        194
        5159           1        252
        5159           2        530
        5159           3        244
        5159           4        219
        5159           5         75
        5159           6         49
        5159           7        119
        5160           3         76
        5160           6         86
        5161           1         85
        5161           2        314
        5161           3        411
        5161           4        396
        5161           5         97
        5161           7         83
        5162           1         66
        5162           2        271
        5162           3        147
        5162           4        113
        5162           5         67
        5162           6         85
        5162           7        114
        5163           1        211
        5163           2        223
        5163           3        327
        5163           4        167
        5163           5         57
        5163           6         95
        5163           7        109
        5164           1        304
